batch_size,epochs,filename,i,loss_func,model_name,model_updates,mse,mse_input,noise,optimizer_name,seed,stoppage_early,total_time,train_loss
10000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_23.896648414157056.pth,167,MSELoss(),SHO_Fitter_original_data,555,0.24757947027683258,24.015621185302734,6,Adam,46,False,15.865496397018433,23.896648414157056
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.3158337055809.pth,168,MSELoss(),SHO_Fitter_original_data,11060,0.4674992859363556,32.6885871887207,7,Adam,0,False,92.53375482559204,32.3158337055809
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.32542913841704.pth,169,MSELoss(),SHO_Fitter_original_data,11060,0.46294501423835754,32.6885871887207,7,Adam,41,False,91.68461489677429,32.32542913841704
5000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_0.037917005661222865.pth,17,MSELoss(),SHO_Fitter_original_data,1110,0.036949094384908676,0.0,0,Adam,46,False,29.248738527297974,0.037917005661222865
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.322826809698235.pth,170,MSELoss(),SHO_Fitter_original_data,11060,0.4639680087566376,32.6885871887207,7,Adam,43,False,91.11071801185608,32.322826809698235
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.32218267506472.pth,171,MSELoss(),SHO_Fitter_original_data,11060,0.4636276662349701,32.6885871887207,7,Adam,44,False,92.81757116317749,32.32218267506472
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.32384309400287.pth,172,MSELoss(),SHO_Fitter_original_data,11060,0.48308318853378296,32.6885871887207,7,Adam,45,False,92.36105251312256,32.32384309400287
500,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.33223541701833.pth,173,MSELoss(),SHO_Fitter_original_data,11060,0.45126259326934814,32.6885871887207,7,Adam,46,False,92.31055974960327,32.33223541701833
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.330766605420244.pth,174,MSELoss(),SHO_Fitter_original_data,5530,0.45296281576156616,32.6885871887207,7,Adam,0,False,55.061421155929565,32.330766605420244
1000,4,SHO_Fitter_original_data_model_optimizer_Adam_epoch_4_train_loss_32.33783584046695.pth,175,MSELoss(),SHO_Fitter_original_data,5530,0.44855743646621704,32.6885871887207,7,Adam,41,False,54.67446303367615,32.33783584046695
